"","model_causalities_2014","","model_causalities_2015","","model_causalities_2016","","model_causalities_2017","","model_causalities_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_2014","-0.041","-0.095,0.014","","","","","","","",""
"coffee_pp_2015","","","-0.038","-0.093,0.016","","","","","",""
"coffee_pp_2016","","","","","-0.033","-0.088,0.021","","","",""
"coffee_pp_2017","","","","","","","-0.030","-0.083,0.023","",""
"coffee_pp_2018","","","","","","","","","-0.026","-0.081,0.029"
"oil_pp_","","","","","","","","","",""
"oil_pp_2014","-0.200","-0.609,0.209","","","","","","","",""
"oil_pp_2015","","","-0.301","-0.702,0.101","","","","","",""
"oil_pp_2016","","","","","-0.271","-0.642,0.100","","","",""
"oil_pp_2017","","","","","","","-0.224","-0.546,0.099","",""
"oil_pp_2018","","","","","","","","","-0.180","-0.464,0.103"
"N","32504","","32504","","32504","","32504","","32504",""
