"","model_clashes_2014","","model_clashes_2015","","model_clashes_2016","","model_clashes_2017","","model_clashes_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_2014","-0.009","-0.026,0.008","","","","","","","",""
"coffee_pp_2015","","","-0.009","-0.026,0.008","","","","","",""
"coffee_pp_2016","","","","","-0.009","-0.026,0.008","","","",""
"coffee_pp_2017","","","","","","","-0.008","-0.024,0.009","",""
"coffee_pp_2018","","","","","","","","","-0.006","-0.023,0.011"
"oil_pp_","","","","","","","","","",""
"oil_pp_2014","-0.102","-0.211,0.008","","","","","","","",""
"oil_pp_2015","","","-0.127","-0.237,-0.018","","","","","",""
"oil_pp_2016","","","","","-0.123","-0.228,-0.018","","","",""
"oil_pp_2017","","","","","","","-0.113","-0.203,-0.022","",""
"oil_pp_2018","","","","","","","","","-0.102","-0.181,-0.024"
"N","32504","","32504","","32504","","32504","","32504",""
