"","model_guerrattacks_2014","","model_guerrattacks_2015","","model_guerrattacks_2016","","model_guerrattacks_2017","","model_guerrattacks_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.001","-0.001,0.002","","","","","","","",""
"coffee_pp_dp_2015","","","0.001","-0.001,0.002","","","","","",""
"coffee_pp_dp_2016","","","","","0.000","-0.001,0.001","","","",""
"coffee_pp_dp_2017","","","","","","","0.001","-0.000,0.002","",""
"coffee_pp_dp_2018","","","","","","","","","0.001","-0.001,0.002"
"oil_pp_dp_2014","0.002","-0.001,0.004","","","","","","","",""
"oil_pp_dp_2015","","","0.002","-0.001,0.005","","","","","",""
"oil_pp_dp_2016","","","","","0.001","-0.001,0.004","","","",""
"oil_pp_dp_2017","","","","","","","0.001","-0.001,0.003","",""
"oil_pp_dp_2018","","","","","","","","","0.001","-0.001,0.003"
"N","11692","","11692","","11692","","11692","","11692",""
