"","model_posdattacks_2014","","model_posdattacks_2015","","model_posdattacks_2016","","model_posdattacks_2017","","model_posdattacks_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.00041","-0.00039,0.00120","","","","","","","",""
"coffee_pp_dp_2015","","","0.00029","-0.00047,0.00105","","","","","",""
"coffee_pp_dp_2016","","","","","-0.00012","-0.00041,0.00017","","","",""
"coffee_pp_dp_2017","","","","","","","0.00019","-0.00039,0.00077","",""
"coffee_pp_dp_2018","","","","","","","","","0.00022","-0.00040,0.00083"
"oil_pp_dp_2014","-0.00028","-0.00074,0.00018","","","","","","","",""
"oil_pp_dp_2015","","","-0.00029","-0.00079,0.00021","","","","","",""
"oil_pp_dp_2016","","","","","-0.00033","-0.00091,0.00024","","","",""
"oil_pp_dp_2017","","","","","","","-0.00021","-0.00054,0.00013","",""
"oil_pp_dp_2018","","","","","","","","","-0.00034","-0.00091,0.00024"
"N","11692","","11692","","11692","","11692","","11692",""
