,muncode,year,ac_cafe,p_cafe,H_coca,pobl_tot,lpop,y_cap_regalias
0,5001.0,2007.0,1027.0,821.6,0.0,2265244.0,0.8176829208557054,33.031
1,5001.0,2008.0,1027.0,821.6,0.0,2291378.0,0.8291538197325906,50.457
2,5001.0,2009.0,1027.0,800.0,0.0,2317336.0,0.8404186815722106,126.854
3,5001.0,2010.0,1078.0,862.4,0.0,2343049.0,0.8514534994601457,47.348
4,5001.0,2011.0,1058.0,846.4,0.0,2368282.0,0.862165220016127,50.911
5,5001.0,2012.0,1077.0,861.6,0.0,2393011.0,0.8725528235396556,0.0
6,5001.0,2013.0,534.42,267.49393,0.0,2417325.0,0.8826619705740026,104014.419
7,5001.0,2014.0,450.81,243.98717,0.0,2441123.0,0.892458588973534,0.0
8,5001.0,2015.0,434.74,461.35175,0.0,2464322.0,0.9019171247423741,0.0
9,5001.0,2016.0,419.58566,460.49826,0.0,2486723.0,0.9109661815820356,89.208
10,5001.0,2017.0,448.8,302.55188,0.0,2508452.0,0.9196662284700523,19.875049591064453
11,5001.0,2018.0,433.55,442.60452,0.0,2427129.0,0.88670948938083,0.0
12,5001.0,2019.0,417.0,517.0,0.0,2483545.0,0.9096873776405625,0.0
13,5001.0,2020.0,394.0,452.0,0.0,2533424.0,0.9295721421800692,0.0
14,5001.0,2021.0,378.22,276.1,0.0,2573220.0,0.9451584215660209,0.0
15,5001.0,2022.0,387.08,241.18,,,,0.0
16,5002.0,2007.0,3818.7,2329.4,0.0,20022.0,-3.9108736661716246,20.118
17,5002.0,2008.0,3956.0,2223.3,0.0,19930.0,-3.9154789704015363,28.796
18,5002.0,2009.0,3956.5,2223.6,0.0,19853.0,-3.9193497808146067,29.674
19,5002.0,2010.0,3665.0,2528.9,0.0,19750.0,-3.9245511560054163,28.51
20,5002.0,2011.0,3290.0,1500.0,0.0,19672.0,-3.9285081416880083,46.779
21,5002.0,2012.0,3000.0,2398.12,0.0,19570.0,-3.9337064002593047,42.538
22,5002.0,2013.0,3050.02,1717.4594,0.0,19478.0,-3.938418316787678,1962.3590000000002
23,5002.0,2014.0,3182.24,1937.5767,0.0,19382.0,-3.943358885737999,641.046
24,5002.0,2015.0,3101.92,3337.469,0.0,19290.0,-3.948116613076385,1477.2060546875
25,5002.0,2016.0,3012.4685,3352.0767,0.0,19195.0,-3.953053354986138,737.104
26,5002.0,2017.0,2751.64,5017.5615,0.0,19096.0,-3.9582240243288602,24.365336
27,5002.0,2018.0,2227.76,3316.3281,0.0,20367.0,-3.8937902371670865,0.0
28,5002.0,2019.0,2326.0,3093.58,0.0,20258.0,-3.8991561397213226,2807.829897
29,5002.0,2020.0,2506.0,3089.0,0.0,20287.0,-3.897725700727322,0.0
30,5002.0,2021.0,2474.81,3736.96,0.0,20602.0,-3.882318582721815,248.45194
31,5002.0,2022.0,2579.18,3079.99,,,,1596.146824
32,5004.0,2007.0,135.0,81.0,0.0,2570.0,-5.9634603506983845,0.0
33,5004.0,2008.0,131.8,89.6,0.0,2504.0,-5.989466544445309,0.0
34,5004.0,2009.0,128.3,86.0,0.0,2458.0,-6.008000515748082,1.989
35,5004.0,2010.0,129.8,87.0,0.0,2397.0,-6.033120222376815,1.714
36,5004.0,2011.0,114.5,96.18,0.0,2336.0,-6.058887223425416,49.550941
37,5004.0,2012.0,136.5,117.39,0.0,2290.0,-6.078766875510778,10.062249999999999
38,5004.0,2013.0,111.08,62.554195,0.0,2231.0,-6.104857234463073,449.81037
39,5004.0,2014.0,110.55,67.3165,0.0,2175.0,-6.130266949988441,993.9124200000001
40,5004.0,2015.0,99.97,110.35726,0.0,2128.0,-6.152102893070794,365.114013671875
41,5004.0,2016.0,100.20876,114.40413,0.0,2075.0,-6.177312313678494,424.366
42,5004.0,2017.0,99.92,182.20216,0.0,2019.0,-6.2046577675690235,681.0594834677734
43,5004.0,2018.0,104.34,130.9673,0.0,2695.0,-5.915986085932077,524.059584
44,5004.0,2019.0,93.0,122.0,0.0,2710.0,-5.910437708465609,32.816076
45,5004.0,2020.0,96.0,118.0,0.0,2735.0,-5.901258279221833,149.385512
46,5004.0,2021.0,102.4,111.62,0.0,2777.0,-5.886024034649985,127.414956
47,5004.0,2022.0,108.57,140.44,,,,0.0
48,5021.0,2007.0,732.6,732.6,0.0,3747.0,-5.586532914605962,0.0
49,5021.0,2008.0,705.5,705.5,0.0,3724.0,-5.592688427150614,0.0
50,5021.0,2009.0,716.5,358.3,0.0,3688.0,-5.602399860367599,0.0
51,5021.0,2010.0,581.5,872.3,0.0,3652.0,-5.612206531168992,0.0
52,5021.0,2011.0,640.0,768.0,0.0,3618.0,-5.621557534400532,0.0
53,5021.0,2012.0,446.42,535.704,0.0,3575.0,-5.633510421670869,0.0
54,5021.0,2013.0,654.17,491.14883,0.0,3550.0,-5.640526025021186,457.036
55,5021.0,2014.0,626.95,508.97635,0.0,3502.0,-5.654135534766787,785.643
56,5021.0,2015.0,688.5,680.2977,0.0,3466.0,-5.66446561227925,217.24299621582
57,5021.0,2016.0,667.09436,681.69037,0.0,3435.0,-5.673447274860128,69.412
58,5021.0,2017.0,623.39,787.96716,0.0,3393.0,-5.6857461121701025,470.792608
59,5021.0,2018.0,586.5,604.12616,0.0,4657.0,-5.369169107519988,132.022416
60,5021.0,2019.0,545.0,684.0,0.0,4669.0,-5.366596207301331,0.0
61,5021.0,2020.0,524.0,607.84,0.0,4698.0,-5.3604055588614585,7.484565
62,5021.0,2021.0,458.23,623.19,0.0,4771.0,-5.344989774746467,252.537413
63,5021.0,2022.0,445.03,466.31,,,,252.537413
64,5030.0,2007.0,785.0,570.0,0.0,27709.0,-3.58596192010725,574.295
65,5030.0,2008.0,577.8,346.7,0.0,27950.0,-3.5773023018457395,212.224
66,5030.0,2009.0,552.7,327.0,0.0,28192.0,-3.5686815588018326,464.924
67,5030.0,2010.0,585.1,760.6,0.0,28433.0,-3.5601696667686307,393.725
68,5030.0,2011.0,635.3,952.95,0.0,28664.0,-3.552078412621791,374.241
69,5030.0,2012.0,635.3,476.475,0.0,28897.0,-3.5439828904107173,168.657
70,5030.0,2013.0,683.25,512.982,0.0,29117.0,-3.536398739331003,2080.953
71,5030.0,2014.0,628.99,510.63248,0.0,29339.0,-3.5288035062673013,2711.237
72,5030.0,2015.0,620.98,673.08453,0.0,29555.0,-3.521468510055736,2821.23291015625
73,5030.0,2016.0,573.2668,642.619,0.0,29770.0,-3.5142205136553275,1844.493
74,5030.0,2017.0,573.73,821.8896,0.0,29980.0,-3.50719143129359,549.678208
75,5030.0,2018.0,527.08,748.4681,0.0,30227.0,-3.4989866318236635,2608.255744
76,5030.0,2019.0,505.7,910.26,0.0,30777.0,-3.4809551299404773,0.0
77,5030.0,2020.0,547.0,665.0,0.0,31283.0,-3.464648494242772,0.0
78,5030.0,2021.0,475.21,646.29,0.0,31768.0,-3.4492643074315414,0.0
79,5030.0,2022.0,445.81,554.98,,,,0.0
80,5031.0,2007.0,1432.0,1439.2,246.0,20826.0,-3.871505057125258,104.644
81,5031.0,2008.0,1392.0,1304.3,151.0,20985.0,-3.8638997302464175,266.938
82,5031.0,2009.0,1270.0,1143.0,108.0,21138.0,-3.856635603348588,395.143
83,5031.0,2010.0,1517.5,1365.8,103.0,21295.0,-3.8492360173293814,457.032
84,5031.0,2011.0,1453.5,1308.15,29.0,21449.0,-3.842030633608111,455.65
85,5031.0,2012.0,1426.0,1283.4,170.0,21615.0,-3.834321497764294,113.373
86,5031.0,2013.0,1589.65,895.1283,48.0,21768.0,-3.827268339563338,2613.145
87,5031.0,2014.0,1620.5,986.677,40.0,21932.0,-3.8197629270028486,2575.077537
88,5031.0,2015.0,1693.5,1789.7288,28.36,22088.0,-3.8126755319274475,2166.5419921875
89,5031.0,2016.0,1669.6129,1824.8309,130.81,22253.0,-3.8052335112466285,2227.0184319999994
90,5031.0,2017.0,1573.73,1193.5201,197.94,22414.0,-3.7980249013747343,713.0327504560547
91,5031.0,2018.0,1543.08,2288.014,205.61,25962.0,-3.65108283141937,5238.721536
92,5031.0,2019.0,1481.0,1936.0,191.08,26552.0,-3.6286125433272876,52.009299
93,5031.0,2020.0,1509.0,1823.0,209.8,27071.0,-3.609255295558324,665.6205769999999
94,5031.0,2021.0,1489.11,1355.09,475.39,27496.0,-3.593678371169548,3340.625391
95,5031.0,2022.0,1447.03,1025.63,,,,0.0
96,5034.0,2007.0,8484.0,13574.4,0.0,42428.0,-3.1599231882756644,0.0
97,5034.0,2008.0,8484.0,13574.4,0.0,42852.0,-3.1499796247204395,0.0
98,5034.0,2009.0,8496.0,13593.6,0.0,43290.0,-3.139810517771949,0.0
99,5034.0,2010.0,8398.0,13436.8,0.0,43715.0,-3.13004111116771,54.361
100,5034.0,2011.0,5490.0,7137.0,0.0,44149.0,-3.120162351932168,103.27
101,5034.0,2012.0,7012.0,5259.0,0.0,44573.0,-3.110604549584413,57.682326
102,5034.0,2013.0,8400.51,6832.667,0.0,44994.0,-3.101203906496225,1775.644
103,5034.0,2014.0,8544.06,7514.344,0.0,45417.0,-3.09184677673966,3086.347
104,5034.0,2015.0,8568.92,10096.511,0.0,45814.0,-3.0831437305649603,1661.48803710937
105,5034.0,2016.0,8230.181,10029.04,0.0,46221.0,-3.074299403760958,974.035
106,5034.0,2017.0,7486.53,9463.0,0.0,46621.0,-3.0656827462518064,1433.325184
107,5034.0,2018.0,7431.24,10321.36,0.0,43269.0,-3.1402957247453434,2446.452224
108,5034.0,2019.0,7577.0,10115.0,0.0,43713.0,-3.1300868620541413,0.0
109,5034.0,2020.0,8256.0,10191.0,0.0,44199.0,-3.1190304898984844,99.419216
110,5034.0,2021.0,7902.28,7744.23,0.0,44885.0,-3.103629336863814,129.140242
111,5034.0,2022.0,7954.13,6015.97,,,,0.0
112,5036.0,2007.0,600.0,480.0,0.0,7894.0,-4.841525631274532,6.527
113,5036.0,2008.0,497.0,398.0,0.0,8034.0,-4.823948279792661,3.249
114,5036.0,2009.0,587.0,293.5,0.0,8151.0,-4.809491983061713,2.148
115,5036.0,2010.0,662.0,288.5,0.0,8287.0,-4.79294659346501,62.411
116,5036.0,2011.0,615.0,307.5,0.0,8415.0,-4.777620622986783,100.036
117,5036.0,2012.0,578.0,289.0,0.0,8551.0,-4.761590105259393,40.559
118,5036.0,2013.0,256.9,128.03972,0.0,8680.0,-4.746618549572466,1018.7180000000001
119,5036.0,2014.0,241.61,130.20801,0.0,8806.0,-4.732208419158814,990.776
120,5036.0,2015.0,246.36,263.74457,0.0,8946.0,-4.716436998416678,378.946990966796
121,5036.0,2016.0,241.94255,267.8739,0.0,9082.0,-4.701350744462061,52.624926
122,5036.0,2017.0,247.7,292.22076,0.0,9216.0,-4.68670567397061,0.0
123,5036.0,2018.0,234.78,245.45113,0.0,5756.0,-5.157338773288465,1308.387072
124,5036.0,2019.0,217.0,283.0,0.0,5790.0,-5.1514502907384845,252.25576
125,5036.0,2020.0,204.0,246.0,0.0,5841.0,-5.142682075016588,0.0
126,5036.0,2021.0,203.55,185.23,0.0,5932.0,-5.1272252917056305,0.0
127,5036.0,2022.0,210.65,181.09,,,,0.0
128,5038.0,2007.0,1180.0,1180.0,0.0,12294.0,-4.398562603313981,0.0
129,5038.0,2008.0,1180.0,1180.0,0.0,12175.0,-4.408288477862807,0.0
130,5038.0,2009.0,1180.0,1180.0,0.0,12046.0,-4.418939612697422,59.309
131,5038.0,2010.0,1170.0,1170.0,0.0,11930.0,-4.428615224088474,304.406
132,5038.0,2011.0,1100.0,1380.0,0.0,11811.0,-4.438639315100461,2690.201
133,5038.0,2012.0,1100.0,1300.0,0.0,11695.0,-4.448508375974715,188.558
134,5038.0,2013.0,919.7,748.0503,0.0,11579.0,-4.458475806837288,800.644
135,5038.0,2014.0,861.12,757.3393,0.0,11464.0,-4.46845636267227,1542.907
136,5038.0,2015.0,874.95,905.5096,0.0,11354.0,-4.4780971034246155,277.842987060546
137,5038.0,2016.0,854.056,914.11523,0.0,11240.0,-4.488187470502477,361.162133
138,5038.0,2017.0,724.09,1220.3364,0.0,11139.0,-4.497213044482999,43.099525451660156
139,5038.0,2018.0,681.87,877.4649,0.0,11437.0,-4.470814133489013,829.831936
140,5038.0,2019.0,654.0,844.0,0.0,11462.0,-4.468630821849264,3210.761788
141,5038.0,2020.0,659.0,786.0,0.0,11536.0,-4.462196017036985,460.537162
142,5038.0,2021.0,660.96,720.45,0.0,11715.0,-4.44679985001665,160.538786
