,muncode,_prcmean,year,_tempmean
0,5002,32340.527030812325,2006,
1,5002,32785.08025210084,2007,2905.964845938375
2,5002,36580.72619047619,2008,2902.933333333333
3,5002,24200.154761904763,2009,2911.153781512605
4,5002,35185.02044817927,2010,2913.211764705882
5,5002,35673.33599439776,2011,2908.789355742297
6,5002,24859.173389355743,2012,2912.2474789915964
7,5002,20982.883473389356,2013,2913.2093837535012
8,5002,16998.161344537817,2014,2915.666946778712
9,5002,16254.196078431372,2015,2920.1231092436974
10,5002,18154.49467787115,2016,2917.5204481792716
11,5002,21311.632212885153,2017,2914.493837535014
12,5002,19531.971988795518,2018,2914.9809523809527
13,5002,,2019,2918.8266106442575
14,5004,19385.53581661891,2006,
15,5004,23090.786771728748,2007,2877.4954632282715
16,5004,27772.830229226358,2008,2873.383715377268
17,5004,23794.526981852916,2009,2882.6038681948426
18,5004,31613.813276026744,2010,2884.6191499522447
19,5004,38462.53104106972,2011,2879.660219675263
20,5004,25087.45200573066,2012,2881.8679560649475
21,5004,36016.055157593124,2013,2884.142788920726
22,5004,30283.541807762438,2014,2884.91929321872
23,5004,31755.25,2015,2889.4219197707735
24,5004,33680.55468003821,2016,2871.597659980898
25,5004,41495.24259789876,2017,2884.2889207258836
26,5004,36315.93600764088,2018,2882.8536294173828
27,5004,,2019,2886.8884909264566
28,50006,42422.76797013415,2006,
29,50006,34748.911731207285,2007,2950.9487471526195
30,50006,37710.27126044039,2008,2949.8013793976206
31,50006,38562.70127815743,2009,2951.503733232093
32,50006,46296.108263730704,2010,2955.8662996709695
33,50006,42578.675398633255,2011,2951.346937484181
34,50006,36642.59092634776,2012,2948.468109339408
35,50006,30907.92881548975,2013,2950.4350164515313
36,50006,31117.042106716366,2014,2951.367944824095
37,50006,40788.22114654518,2015,2955.4768413059987
38,50006,44679.99120475829,2016,2957.9498861047837
39,50006,37231.087636041506,2017,2951.2141230068337
40,50006,36172.32561376866,2018,2948.573588964819
41,50006,,2019,2952.6344596304734
42,27006,21795.842021276596,2006,
43,27006,26095.342907801416,2007,2988.862943262411
44,27006,21311.311790780142,2008,2985.726329787234
45,27006,20147.999556737588,2009,2991.430585106383
46,27006,27174.704432624112,2010,2991.6101063829788
47,27006,23675.138031914892,2011,2988.741578014184
48,27006,21737.701861702128,2012,2991.4848404255317
49,27006,22350.35106382979,2013,2992.3343085106385
50,27006,15131.749613152806,2014,2994.4367021276594
51,27006,16367.98865248227,2015,2997.904255319149
52,27006,22062.445921985814,2016,2995.683333333333
53,27006,23310.049468085108,2017,2993.4309397163124
54,27006,21667.523315602837,2018,2991.8696808510635
55,27006,,2019,2994.129609929078
56,41006,28157.57575757576,2006,
57,41006,30826.278708133974,2007,2902.0285752259438
58,41006,27108.419856459328,2008,2902.2583732057415
59,41006,27854.486177565122,2009,2903.5801435406697
60,41006,27515.556884635833,2010,2906.7967836257308
61,41006,28494.01023391813,2011,2904.52990430622
62,41006,31184.523790536947,2012,2900.0612706007446
63,41006,21780.910552897396,2013,2900.8221690590112
64,41006,24013.788603740755,2014,2901.5782828282827
65,41006,22649.090643274856,2015,2903.456273258905
66,41006,24418.624269005846,2016,2899.7880116959063
67,41006,23996.878787878788,2017,2906.0122275385434
68,41006,21648.81645401382,2018,2904.2260765550236
69,41006,,2019,2905.478601807549
70,13006,31611.7644414972,2006,
71,13006,28949.855069260244,2007,3007.9218980253463
72,13006,25573.504273504277,2008,3004.754936634247
73,13006,19958.556513409963,2009,3011.220380194518
74,13006,29587.538756262893,2010,3010.8759210138523
75,13006,31619.97804302977,2011,3006.571618037135
76,13006,24086.658340701444,2012,3013.2928087238433
77,13006,19921.27571470675,2013,3013.9387709991156
78,13006,18209.184952978056,2014,3016.585985853227
79,13006,21372.16600353669,2015,3021.236884762747
80,13006,20537.840554081933,2016,3021.0903330386086
81,13006,31131.916371942236,2017,3017.513041556145
82,13006,26825.502431476572,2018,3014.6176687297375
83,13006,,2019,3019.052755673445
84,41013,19062.55083857442,2006,
85,41013,17142.210167714886,2007,2957.0429769392035
86,41013,18805.564465408806,2008,2956.100890985325
87,41013,19460.889150943396,2009,2958.534329140461
88,41013,20264.93998951782,2010,2962.061320754717
89,41013,24064.686320754718,2011,2960.055555555555
90,41013,21930.943396226416,2012,2955.93107966457
91,41013,15976.555555555555,2013,2956.576519916143
92,41013,17527.691538021725,2014,2957.1831761006288
93,41013,12269.333857442347,2015,2959.8653039832284
94,41013,17737.900419287213,2016,2978.8786687631023
95,41013,22087.72746331237,2017,2961.666928721174
96,41013,15334.04428721174,2018,2960.1949685534587
97,41013,,2019,2962.040094339623
98,25001,17910.162500000002,2006,
99,25001,19890.454166666666,2007,2985.5499999999997
100,25001,19979.828333333335,2008,2985.205
101,25001,17880.045000000002,2009,2990.2183333333337
102,25001,18714.384166666667,2010,2991.263333333334
103,25001,19255.694166666668,2011,2989.0658333333336
104,25001,14581.016666666668,2012,2989.5291666666667
105,25001,43962.02583333334,2013,2990.435833333333
106,25001,45386.52272727273,2014,2992.2966666666666
107,25001,34680.144166666665,2015,2992.664166666667
108,25001,45134.99166666667,2016,3002.683333333333
109,25001,38261.0475,2017,3000.398333333333
110,25001,44073.66333333333,2018,2995.5875
111,25001,,2019,2998.7525
112,20011,17893.920673076922,2006,
