"yy_hecho","muni_code_hecho","p_str","observed"
"1990","11001","GUE-ELN",1
"1990","11001","OTRO",6
"1990","11001",NA,1
"1990","13001","GUE-OTRO",1
"1990","13001",NA,1
"1990","13006","GUE-ELN",3
"1990","13030","GUE-FARC",1
"1990","13074","GUE-ELN",1
"1990","13244","GUE-FARC",1
"1990","13268","GUE-FARC",1
"1990","13430","GUE-ELN",3
"1990","13433","GUE-OTRO",1
"1990","13442","GUE-ELN",2
"1990","13442","OTRO",1
"1990","13458",NA,1
"1990","13549","GUE-ELN",2
"1990","13654",NA,1
"1990","13657","GUE-OTRO",1
"1990","13683","GUE-FARC",1
"1990","13744","GUE-ELN",4
"1990","13744",NA,1
"1990","13810",NA,1
"1990","15001","GUE-FARC",1
"1990","15022","GUE-FARC",1
"1990","15047","GUE-FARC",1
"1990","15051","GUE-FARC",1
"1990","15090","GUE-FARC",1
"1990","15097","GUE-FARC",1
"1990","15104","GUE-FARC",1
"1990","15104","PARA",1
"1990","15135","GUE-FARC",1
"1990","15176","GUE-FARC",1
"1990","15180","GUE-FARC",1
"1990","15183","GUE-FARC",1
"1990","15223","GUE-FARC",1
"1990","15236","GUE-FARC",1
"1990","15238","GUE-FARC",1
"1990","15248","GUE-FARC",1
"1990","15272","GUE-FARC",1
"1990","15322","GUE-FARC",1
"1990","15332","GUE-FARC",1
"1990","15362","GUE-FARC",1
"1990","15455","GUE-ELN",1
"1990","15455","GUE-FARC",1
"1990","15455",NA,1
"1990","15469","GUE-FARC",1
"1990","15480","PARA",1
"1990","15491","GUE-FARC",1
"1990","15507","GUE-FARC",1
"1990","15514","GUE-FARC",1
"1990","15516","GUE-FARC",1
"1990","15518","GUE-FARC",1
"1990","15531","GUE-FARC",1
"1990","15537","GUE-FARC",1
"1990","15572","GUE-FARC",1
"1990","15572",NA,1
"1990","15646","GUE-FARC",1
"1990","15660",NA,1
"1990","15667","GUE-FARC",1
"1990","15693","GUE-FARC",1
"1990","15696","GUE-FARC",1
"1990","15759","GUE-FARC",1
"1990","15763","GUE-FARC",1
"1990","15790","GUE-FARC",1
"1990","15839","GUE-FARC",1
"1990","17001","GUE-ELN",5
"1990","17042","GUE-OTRO",2
"1990","17088","OTRO",4
"1990","17442",NA,1
"1990","17495","multiple",1
"1990","17614","GUE-OTRO",2
"1990","17777","GUE-OTRO",2
"1990","17877","GUE-OTRO",1
"1990","18001","GUE-ELN",1
"1990","18001","GUE-FARC",1
"1990","18001",NA,1
"1990","18094","GUE-FARC",1
"1990","18150","GUE-FARC",2
"1990","18150","multiple",1
"1990","18247","GUE-FARC",1
"1990","18256","GUE-FARC",2
"1990","18256",NA,1
"1990","18410","GUE-FARC",1
"1990","19022","GUE-ELN",4
"1990","19075","GUE-FARC",1
"1990","19075",NA,2
"1990","19100","GUE-ELN",18
"1990","19110","GUE-ELN",1
"1990","19130","GUE-ELN",2
"1990","19137","GUE-FARC",1
"1990","19142","GUE-ELN",4
"1990","19142","GUE-FARC",2
"1990","19142","GUE-OTRO",1
"1990","19142","multiple",1
"1990","19212","GUE-FARC",1
"1990","19256","GUE-FARC",9
"1990","19256",NA,1
"1990","19397","GUE-ELN",4
"1990","19513",NA,7
"1990","19698","GUE-ELN",1
"1990","19698","GUE-FARC",2
"1990","19701","GUE-ELN",2
"1990","19701","GUE-FARC",2
"1990","19743","multiple",2
"1990","19821","GUE-FARC",1
"1990","20001","GUE-ELN",7
"1990","20001","GUE-FARC",3
"1990","20001","multiple",2
"1990","20001",NA,1
"1990","20011","GUE-ELN",10
"1990","20011","PARA",1
"1990","20011",NA,2
"1990","20013","GUE-ELN",4
"1990","20013","GUE-FARC",2
"1990","20013",NA,1
"1990","20032","GUE-OTRO",1
"1990","20045","GUE-ELN",1
"1990","20045",NA,4
"1990","20060",NA,1
"1990","20175",NA,1
"1990","20178","GUE-ELN",1
"1990","20178",NA,1
"1990","20228",NA,1
"1990","20238","GUE-ELN",1
"1990","20238",NA,1
"1990","20250","GUE-ELN",1
"1990","20295","GUE-ELN",1
"1990","20295",NA,1
"1990","20310",NA,1
"1990","20383",NA,1
"1990","20400","GUE-ELN",2
"1990","20400",NA,1
"1990","20443",NA,1
"1990","20517","GUE-ELN",6
"1990","20517","multiple",1
"1990","20517",NA,1
"1990","20550","GUE-ELN",2
"1990","20550",NA,1
"1990","20570","EST",1
"1990","20570",NA,1
"1990","20614","GUE-ELN",6
"1990","20614","GUE-OTRO",1
"1990","20614",NA,1
"1990","20621","GUE-ELN",1
"1990","20621","GUE-FARC",1
"1990","20621","GUE-OTRO",1
"1990","20621",NA,1
"1990","20710",NA,1
"1990","20750","GUE-FARC",1
"1990","20750",NA,1
"1990","20770","GUE-ELN",1
"1990","20770",NA,1
"1990","20787","multiple",1
"1990","23001","GUE-OTRO",1
"1990","23068","GUE-FARC",1
"1990","23079","multiple",1
"1990","23419","GUE-OTRO",1
"1990","23466","GUE-FARC",1
"1990","23466","GUE-OTRO",4
"1990","23555","GUE-FARC",1
"1990","23555","GUE-OTRO",2
"1990","23555",NA,2
"1990","23580","GUE-FARC",1
"1990","23580","PARA",1
"1990","23580",NA,1
"1990","23660","OTRO",1
"1990","23807","GUE-FARC",1
"1990","23807","GUE-OTRO",1
"1990","23855","GUE-ELN",1
"1990","23855","GUE-OTRO",4
"1990","25293","GUE-FARC",1
"1990","25297","GUE-FARC",1
"1990","25324","GUE-FARC",1
"1990","25438",NA,1
"1990","25483","GUE-FARC",1
"1990","25506","GUE-FARC",1
"1990","25599","GUE-FARC",1
"1990","25851","GUE-FARC",1
"1990","25885","GUE-FARC",1
"1990","27006","GUE-FARC",3
"1990","27006",NA,1
"1990","27615","PARA",1
"1990","27800","GUE-FARC",1
"1990","27800",NA,7
"1990","41001","GUE-FARC",5
"1990","41026","GUE-FARC",2
"1990","41132",NA,1
"1990","41298","GUE-FARC",1
"1990","41319","GUE-ELN",1
"1990","41319","GUE-OTRO",1
"1990","41349","GUE-FARC",1
"1990","41359","GUE-ELN",1
"1990","41359","GUE-FARC",1
"1990","41359",NA,2
"1990","41396","GUE-FARC",2
"1990","41551","GUE-ELN",8
"1990","41551","GUE-FARC",4
"1990","41807","GUE-FARC",1
"1990","41807",NA,2
"1990","44001",NA,1
"1990","44078","GUE-OTRO",1
"1990","44279","GUE-OTRO",1
"1990","44378",NA,1
"1990","44650",NA,1
"1990","44874","GUE-FARC",1
"1990","44874","GUE-OTRO",2
"1990","47001","GUE-ELN",5
