,year,pcoffee2006,poil2006
0,1988,709790.9867145856,64102.84758415721
1,1989,712126.733641873,79626.3435832055
2,1990,680456.3039595447,105496.20985887117
3,1991,634592.0622094613,85210.96067872891
4,1992,485647.5591621146,70169.31052255369
5,1993,412476.909329449,58313.75626966693
6,1994,560167.3706116418,46521.92810625784
7,1995,587874.1665043714,45611.49880552616
8,1996,510084.87759843405,51995.53169764613
9,1997,679003.4250824063,44731.9652028662
10,1998,551055.4881898306,31460.10359760572
11,1999,518947.7776051822,49020.68628004807
12,2000,490504.26094292453,85407.99815637243
13,2001,387282.53721027035,74368.27158878425
14,2002,358589.0252986434,77803.3958485031
15,2003,356757.54368643806,96324.63848696483
16,2004,384967.7062514844,110176.34824310227
17,2005,476693.8289536497,132102.3969363821
18,2006,465926.49689580133,153686.02446179997
19,2007,433431.5019855571,142609.80881042115
20,2008,437229.21450860566,168690.163811086
21,2009,559151.9645988598,113201.65272910868
22,2010,627072.4198929896,125617.69314606751
23,2011,784215.5160588234,165203.80468777436
24,2012,514465.3808603172,156314.0686030335
25,2013,356029.5523533263,154884.10209912248
26,2014,521279.7012484042,146931.56001831917
27,2015,506248.83118245396,101366.63049377156
28,2016,545404.7850141429,87632.17931237769
29,2017,515489.06358211907,100662.25617068859
30,2018,452290.15271737945,128685.9908290082
31,2019,464232.61432060914,124394.09326237226
32,2020,602700.1764905811,89106.8211499563
33,2021,844369.9801052999,147404.07206426997
34,2022,1084659.3792342856,216617.6466516424
