,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
0,AP,0,1988-5-27,1988-5-27,6.628732408,-72.62708287,CR000038,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,0,0,1,0,0,68152,1988
1,AP,1,1988-11-12,1988-11-12,6.187082996,-72.47189235,CR000043,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,6.0,0,0,1,0,0,15183,1988
2,AP,2,1989-11-9,1989-11-9,5.498150801,-76.54521063,CR000056,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,0,0,1,0,0,27413,1989
3,AP,3,1992-2-12,1992-2-12,7.103619083,-77.76275092,CR000078,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,0,0,1,0,0,27372,1992
4,AP,4,1999-12-25,1999-12-25,4.713605767,-75.09793439,CR000186,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,0,0,1,0,0,73686,1999
5,AP,5,2000-8-30,2000-8-30,3.253095405,-76.22886987,CR000204,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,19455,2000
6,AP,6,2001-6-19,2001-6-19,4.272481672,-74.41482562,CR000238,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,0,0,1,0,0,25053,2001
7,AP,7,2001-9-28,2001-9-28,1.913360233,-76.85592449,CR000245,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,1.0,0,0,1,0,0,19022,2001
8,AP,8,2001-10-17,2001-10-17,4.496132932,-75.07474109,CR000248,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,3.0,0,0,1,0,0,73001,2001
9,AP,9,2002-7-17,2002-7-17,3.539036003,-74.89684475,CR000312,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,14.0,0,0,1,0,0,73236,2002
10,AP,10,2002-8-11,2002-8-11,2.45137136,-76.81077225,CR000324,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,19256,2002
11,AP,11,2000-11-19,2000-11-19,4.744809893,-74.53370501,CR002001,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,0,0,1,0,0,25596,2000
12,AP,12,2000-12-6,2000-12-6,3.875802437,-77.0117402,CR002003,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,0,0,1,0,0,76109,2000
