,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,guerrattack_tax,parattack_tax,clash_tax,govattack_tax,posdattack_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
0,CR000038,1988,5,27,"{'type': 'Point', 'coordinates': [-72.62708287, 6.628732408]}",68152,CARCASI,SANTANDER,PROVINCIA DE GARCIA ROVIRA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.62708287, 6.628732408]}",6.628732408,-72.62708287,1988-5-27,0,AP
1,CR000043,1988,11,12,"{'type': 'Point', 'coordinates': [-72.47189235, 6.187082996]}",15183,CHITA,BOYACA,ALTIPLANO CUNDIBOYACENSE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-72.47189235, 6.187082996]}",6.187082996,-72.47189235,1988-11-12,1,AP
2,CR000056,1989,11,9,"{'type': 'Point', 'coordinates': [-76.54521063, 5.498150801]}",27413,LLORO,CHOCO,ATRATO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.54521063, 5.498150801]}",5.498150801,-76.54521063,1989-11-9,2,AP
3,CR000078,1992,2,12,"{'type': 'Point', 'coordinates': [-77.76275092, 7.103619083]}",27372,JURADO,CHOCO,LITORAL PACIFICO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.76275092, 7.103619083]}",7.103619083,-77.76275092,1992-2-12,3,AP
4,CR000186,1999,12,25,"{'type': 'Point', 'coordinates': [-75.09793439, 4.713605767]}",73686,SANTA ISABEL,TOLIMA,NORTE DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.09793439, 4.713605767]}",4.713605767,-75.09793439,1999-12-25,4,AP
5,CR000204,2000,8,30,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",19455,MIRANDA,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",3.253095405,-76.22886987,2000-8-30,5,AP
6,CR000238,2001,6,19,"{'type': 'Point', 'coordinates': [-74.41482562, 4.272481672]}",25053,ARBELAEZ,CUNDINAMARCA,SUMAPAZ,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,2.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.41482562, 4.272481672]}",4.272481672,-74.41482562,2001-6-19,6,AP
7,CR000245,2001,9,28,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",19022,ALMAGUER,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,GUERRILLA,ELN,1.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",1.913360233,-76.85592449,2001-9-28,7,AP
8,CR000248,2001,10,17,"{'type': 'Point', 'coordinates': [-75.07474109, 4.496132932]}",73001,IBAGUE,TOLIMA,NORTE DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,3.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.07474109, 4.496132932]}",4.496132932,-75.07474109,2001-10-17,8,AP
9,CR000312,2002,7,17,"{'type': 'Point', 'coordinates': [-74.89684475, 3.539036003]}",73236,DOLORES,TOLIMA,SUR DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,14.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.89684475, 3.539036003]}",3.539036003,-74.89684475,2002-7-17,9,AP
10,CR000324,2002,8,11,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",19256,EL TAMBO,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-76.81077225, 2.45137136]}",2.45137136,-76.81077225,2002-8-11,10,AP
11,CR002001,2000,11,19,"{'type': 'Point', 'coordinates': [-74.53370501, 4.744809893]}",25596,QUIPILE,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,0.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-74.53370501, 4.744809893]}",4.744809893,-74.53370501,2000-11-19,11,AP
12,CR002003,2000,12,6,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",76109,BUENAVENTURA,VALLE DEL CAUCA,ANDEN PACIFICO SUR,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.0117402, 3.875802437]}",3.875802437,-77.0117402,2000-12-6,12,AP
13,CR002005,2000,12,19,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",5890,YOLOMBO,ANTIOQUIA,NORDESTE ANTIOQUEÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,,,4.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-75.01335058, 6.594592434]}",6.594592434,-75.01335058,2000-12-19,13,AP
14,CR002010,2001,3,9,"{'type': 'Point', 'coordinates': [-77.01392439, 1.669426894]}",52693,SAN PABLO,NARIÑO,NORTE DE NARIÑO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,,,6.0,1,0,0,0,0,"{'type': 'Point', 'coordinates': [-77.01392439, 1.669426894]}",1.669426894,-77.01392439,2001-3-9,14,AP
