,dataset,event,date,enddate,latitude,longitude,relcase_tax,g1_tax,dg1_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,victims_tax,clash_tax,govattack_tax,guerrattack_tax,parattack_tax,posdattack_tax,c_digo_dane_de_municipio,year
0,AT,0,2009-5-9,2009-5-9,1.335351879,-77.59445713,CR000025,GUERRILLA,ELN,,,,,0.0,0,0,1,0,0,52678,2009
1,AT,1,2011-7-9,2011-7-9,2.951450409,-76.27112721,CR002067,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,19821,2011
2,AT,2,2009-1-13,2009-1-13,1.697744768,-78.24566252,CR002076,GUERRILLA,FARC,,,,,5.0,0,0,1,0,0,52621,2009
3,AT,3,2000-3-26,2000-3-26,4.313078337,-74.79779459,CR005022,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,1.0,0,0,0,0,0,25307,2000
4,AT,4,2000-3-30,2000-3-30,4.730954629,-74.4357071,CR005023,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,25123,2000
5,AT,5,2002-10-28,2002-10-28,7.077358544,-70.74635031,CR005038,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,81001,2002
6,AT,6,2003-10-15,2003-10-15,6.797075753,-71.7685578,CR005041,GUERRILLA,NO IDENTIFICADA,,,,,1.0,0,0,1,0,0,81300,2003
7,AT,7,2002-7-20,2002-7-20,6.814263455,-75.24001859,CR005094,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5315,2002
8,AT,8,1995-10-17,1995-10-17,4.65017303,-74.107359,CR005095,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,2.0,0,0,0,0,0,11001,1995
9,AT,9,2010-8-12,2010-8-12,4.65017303,-74.107359,CR005096,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,11001,2010
10,AT,10,2002-10-7,2002-10-7,9.718579865,-75.12121573,CR005097,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,13244,2002
11,AT,11,2002-5-20,2002-5-20,5.743807479,-75.60781026,CR005099,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,5390,2002
12,AT,12,2002-10-28,2002-10-28,10.97592682,-74.79525905,CR005100,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,8001,2002
13,AT,13,2004-5-2,2004-5-2,4.65017303,-74.107359,CR005101,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,0.0,0,0,0,1,0,11001,2004
14,AT,14,2002-7-9,2002-7-9,3.253095405,-76.22886987,CR005102,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,19455,2002
15,AT,15,1996-12-17,1996-12-17,8.745132591,-75.87557791,CR005103,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,23001,1996
16,AT,16,2002-11-14,2002-11-14,5.249767987,-73.76621533,CR005104,GUERRILLA,ELN,,,,,0.0,0,0,1,0,0,25224,2002
17,AT,17,1997-6-24,1997-6-24,6.246715564,-75.58171333,CR005105,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,5001,1997
18,AT,18,2004-5-15,2004-5-15,6.293754876,-75.02798382,CR005106,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,1.0,0,0,0,1,0,5667,2004
19,AT,19,2004-5-4,2004-5-4,6.449379486,-71.75861086,CR005107,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,81794,2004
20,AT,20,2004-5-22,2004-5-22,6.187991569,-74.98795256,CR005108,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,,,,3.0,0,0,0,1,0,5649,2004
21,AT,21,2003-10-8,2003-10-8,4.65017303,-74.107359,CR005109,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,,,,6.0,0,0,0,1,0,11001,2003
22,AT,22,2005-11-25,2005-11-25,1.61792293,-75.60856043,CR005110,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,,,,1.0,0,0,0,1,0,18001,2005
23,AT,23,1999-8-27,1999-8-27,8.745132591,-75.87557791,CR005111,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,23001,1999
24,AT,24,1996-10-4,1996-10-4,6.246715564,-75.58171333,CR005112,GUERRILLA,ELN,,,,,1.0,0,0,1,0,0,5001,1996
25,AT,25,2013-11-29,2013-11-29,1.80711725,-78.76385415,CR005113,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,52835,2013
26,AT,26,2002-4-7,2002-4-7,4.1238615,-73.62709204,CR005114,GUERRILLA,FARC,,,,,10.0,0,0,1,0,0,50001,2002
27,AT,27,2004-5-23,2004-5-23,7.883417406,-76.62596065,CR005115,GUERRILLA,FARC,,,,,7.0,0,0,1,0,0,5045,2004
28,AT,28,1996-12-16,1996-12-16,6.246715564,-75.58171333,CR005116,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,1.0,0,0,0,0,0,5001,1996
29,AT,29,1997-1-29,1997-1-29,6.246715564,-75.58171333,CR005118,OTRO ¿CUÁL?,NO APLICA,,,,,5.0,0,0,0,0,0,5001,1997
30,AT,30,2003-1-9,2003-1-9,6.797075753,-71.7685578,CR005119,GUERRILLA,FARC,,,,,4.0,0,0,1,0,0,81300,2003
31,AT,31,2003-1-16,2003-1-16,6.246715564,-75.58171333,CR005120,GUERRILLA,FARC,,,,,5.0,0,0,1,0,0,5001,2003
32,AT,32,2012-1-13,2012-1-13,8.468711125,-72.57585052,CR005121,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,54810,2012
33,AT,33,2012-1-13,2012-1-13,1.80711725,-78.76385415,CR005122,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,52835,2012
34,AT,34,1999-2-21,1999-2-21,4.65017303,-74.107359,CR005123,DESCONOCIDO,NO APLICA,,,,,0.0,0,0,0,0,0,11001,1999
35,AT,35,1997-2-27,1997-2-27,7.883417406,-76.62596065,CR005124,GUERRILLA,FARC,,,,,10.0,0,0,1,0,0,5045,1997
36,AT,36,2003-1-25,2003-1-25,2.119786131,-74.76734058,CR005125,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,18753,2003
37,AT,37,2003-5-25,2003-5-25,1.960108633,-72.655172,CR005126,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,1.0,0,0,0,0,0,95015,2003
38,AT,38,1999-12-24,1999-12-24,4.65017303,-74.107359,CR005131,OTRO ¿CUÁL?,NO APLICA,,,,,0.0,0,0,0,0,0,11001,1999
39,AT,39,2003-2-7,2003-2-7,4.65017303,-74.107359,CR005132,GUERRILLA,FARC,,,,,36.0,0,0,1,0,0,11001,2003
40,AT,40,2002-5-20,2002-5-20,5.743807479,-75.60781026,CR005133,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,5390,2002
41,AT,41,1997-3-17,1997-3-17,7.905306295,-72.5082562,CR005135,GUERRILLA,ELN,,,,,1.0,0,0,1,0,0,54001,1997
42,AT,42,2012-3-23,2012-3-23,2.777837347,-76.32387818,CR005136,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,19364,2012
43,AT,43,2002-4-5,2002-4-5,3.462868031,-73.61798161,CR005137,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,50287,2002
44,AT,44,2003-5-27,2003-5-27,2.119786131,-74.76734058,CR005139,GUERRILLA,FARC,,,,,1.0,0,0,1,0,0,18753,2003
45,AT,45,2002-6-2,2002-6-2,7.666300439,-76.6812164,CR005140,GUERRILLA,FARC,,,,,9.0,0,0,1,0,0,5172,2002
46,AT,46,2002-7-24,2002-7-24,4.847575999,-74.62191472,CR005143,GUERRILLA,FARC,,,,,3.0,0,0,1,0,0,25662,2002
47,AT,47,2003-7-17,2003-7-17,7.077358544,-70.74635031,CR005144,GUERRILLA,NO IDENTIFICADA,,,,,0.0,0,0,1,0,0,81001,2003
48,AT,48,2001-8-23,2001-8-23,6.172269255,-75.33947788,CR005145,GUERRILLA,ELN,,,,,1.0,0,0,1,0,0,5440,2001
49,AT,49,2001-8-9,2001-8-9,5.964079131,-75.10268697,CR005146,GUERRILLA,ELN,,,,,3.0,0,0,1,0,0,5652,2001
50,AT,50,2000-10-2,2000-10-2,7.064963864,-73.84995698,CR005148,GUERRILLA,ELN,,,,,2.0,0,0,1,0,0,68081,2000
51,AT,51,2001-10-21,2001-10-21,6.219450549,-75.24282171,CR005149,GUERRILLA,ELN,,,,,6.0,0,0,1,0,0,5541,2001
52,AT,52,2003-10-25,2003-10-25,6.963872352,-75.41883314,CR005150,GUERRILLA,FARC,,,,,7.0,0,0,1,0,0,5887,2003
53,AT,53,2003-10-22,2003-10-22,0.4239040926,-76.9059688,CR005151,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,,,,,2.0,0,0,0,0,0,86865,2003
54,AT,54,2003-3-5,2003-3-5,7.905306295,-72.5082562,CR005152,GUERRILLA,ELN,,,,,13.0,0,0,1,0,0,54001,2003
55,AT,55,2007-10-22,2007-10-22,0.5050467219,-76.49727285,CR005153,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,86568,2007
56,AT,56,2011-10-2,2011-10-2,3.323918106,-76.23450174,CR005154,GUERRILLA,FARC,,,,,0.0,0,0,1,0,0,76275,2011
57,AT,57,1989-11-27,1989-11-27,4.585491658,-74.21452753,CR005155,GRUPO PARAMILITAR,NO IDENTIFICADO,,,,,107.0,0,0,0,1,0,25754,1989
58,AT,58,2000-11-18,2000-11-18,0.5050467219,-76.49727285,CR005156,GUERRILLA,FARC,,,,,2.0,0,0,1,0,0,86568,2000
59,AT,59,2002-11-13,2002-11-13,7.905306295,-72.5082562,CR005157,GUERRILLA,ELN,,,,,0.0,0,0,1,0,0,54001,2002
