,relcase_tax,year,mes,d_a,latitud_longitud,c_digo_dane_de_municipio,municipio,departamento,regi_n,g1_tax,dg1_tax,victims_tax,guerrattack_tax,parattack_tax,posdattack_tax,clash_tax,govattack_tax,g2_tax,dg2_tax,g3_tax,dg3_tax,latitud_longitud_dict,latitude,longitude,date,event,dataset
0,CR000025,2009,5,9,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",52678,SAMANIEGO,NARIÑO,OCCIDENTE DE NARIÑO,GUERRILLA,ELN,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-77.59445713, 1.335351879]}",1.335351879,-77.59445713,2009-5-9,0,AT
1,CR002067,2011,7,9,"{'type': 'Point', 'coordinates': [-76.27112721, 2.951450409]}",19821,TORIBIO,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.27112721, 2.951450409]}",2.951450409,-76.27112721,2011-7-9,1,AT
2,CR002076,2009,1,13,"{'type': 'Point', 'coordinates': [-78.24566252, 1.697744768]}",52621,ROBERTO PAYAN,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,5.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.24566252, 1.697744768]}",1.697744768,-78.24566252,2009-1-13,2,AT
3,CR005022,2000,3,26,"{'type': 'Point', 'coordinates': [-74.79779459, 4.313078337]}",25307,GIRARDOT,CUNDINAMARCA,SUROCCIDENTE DE CUNDINAMARCA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.79779459, 4.313078337]}",4.313078337,-74.79779459,2000-3-26,3,AT
4,CR005023,2000,3,30,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",25123,CACHIPAY,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.4357071, 4.730954629]}",4.730954629,-74.4357071,2000-3-30,4,AT
5,CR005038,2002,10,28,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",81001,ARAUCA,ARAUCA,LLANOS ORIENTALES,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-70.74635031, 7.077358544]}",7.077358544,-70.74635031,2002-10-28,5,AT
6,CR005041,2003,10,15,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",81300,FORTUL,ARAUCA,SARARE,GUERRILLA,NO IDENTIFICADA,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",6.797075753,-71.7685578,2003-10-15,6,AT
7,CR005094,2002,7,20,"{'type': 'Point', 'coordinates': [-75.24001859, 6.814263455]}",5315,GUADALUPE,ANTIOQUIA,NORTE DE ANTIOQUIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.24001859, 6.814263455]}",6.814263455,-75.24001859,2002-7-20,7,AT
8,CR005095,1995,10,17,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,2.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1995-10-17,8,AT
9,CR005096,2010,8,12,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2010-8-12,9,AT
10,CR005097,2002,10,7,"{'type': 'Point', 'coordinates': [-75.12121573, 9.718579865]}",13244,EL CARMEN DE BOLIVAR,BOLIVAR,MONTES DE MARIA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.12121573, 9.718579865]}",9.718579865,-75.12121573,2002-10-7,10,AT
11,CR005099,2002,5,20,"{'type': 'Point', 'coordinates': [-75.60781026, 5.743807479]}",5390,LA PINTADA,ANTIOQUIA,SUROESTE ANTIOQUEÑO,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.60781026, 5.743807479]}",5.743807479,-75.60781026,2002-5-20,11,AT
12,CR005100,2002,10,28,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",8001,BARRANQUILLA,ATLANTICO,NORTE DE ATLANTICO,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.79525905, 10.97592682]}",10.97592682,-74.79525905,2002-10-28,12,AT
13,CR005101,2004,5,2,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GRUPO PARAMILITAR,NO IDENTIFICADO,0.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2004-5-2,13,AT
14,CR005102,2002,7,9,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",19455,MIRANDA,CAUCA,NORTE DEL CAUCA,GUERRILLA,FARC,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.22886987, 3.253095405]}",3.253095405,-76.22886987,2002-7-9,14,AT
15,CR005103,1996,12,17,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",8.745132591,-75.87557791,1996-12-17,15,AT
16,CR005104,2002,11,14,"{'type': 'Point', 'coordinates': [-73.76621533, 5.249767987]}",25224,CUCUNUBA,CUNDINAMARCA,ALTIPLANO CUNDIBOYACENSE,GUERRILLA,ELN,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.76621533, 5.249767987]}",5.249767987,-73.76621533,2002-11-14,16,AT
17,CR005105,1997,6,24,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1997-6-24,17,AT
18,CR005106,2004,5,15,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",5667,SAN RAFAEL,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GRUPO PARAMILITAR,NO IDENTIFICADO,1.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.02798382, 6.293754876]}",6.293754876,-75.02798382,2004-5-15,18,AT
19,CR005107,2004,5,4,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",81794,TAME,ARAUCA,SARARE,GUERRILLA,FARC,2.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.75861086, 6.449379486]}",6.449379486,-71.75861086,2004-5-4,19,AT
20,CR005108,2004,5,22,"{'type': 'Point', 'coordinates': [-74.98795256, 6.187991569]}",5649,SAN CARLOS,ANTIOQUIA,ORIENTE ANTIOQUEÑO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,3.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.98795256, 6.187991569]}",6.187991569,-74.98795256,2004-5-22,20,AT
21,CR005109,2003,10,8,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,6.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,2003-10-8,21,AT
22,CR005110,2005,11,25,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",18001,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1.0,0,1,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",1.61792293,-75.60856043,2005-11-25,22,AT
23,CR005111,1999,8,27,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",23001,MONTERIA,CORDOBA,ALTO SINU Y SAN JORGE,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.87557791, 8.745132591]}",8.745132591,-75.87557791,1999-8-27,23,AT
24,CR005112,1996,10,4,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,ELN,1.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1996-10-4,24,AT
25,CR005113,2013,11,29,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",1.80711725,-78.76385415,2013-11-29,25,AT
26,CR005114,2002,4,7,"{'type': 'Point', 'coordinates': [-73.62709204, 4.1238615]}",50001,VILLAVICENCIO,META,PIEDEMONTE LLANERO,GUERRILLA,FARC,10.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-73.62709204, 4.1238615]}",4.1238615,-73.62709204,2002-4-7,26,AT
27,CR005115,2004,5,23,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",5045,APARTADO,ANTIOQUIA,URABA,GUERRILLA,FARC,7.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-76.62596065, 7.883417406]}",7.883417406,-76.62596065,2004-5-23,27,AT
28,CR005116,1996,12,16,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GRUPO ARMADO NO IDENTIFICADO,NO APLICA,1.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1996-12-16,28,AT
29,CR005118,1997,1,29,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,OTRO ¿CUÁL?,NO APLICA,5.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,1997-1-29,29,AT
30,CR005119,2003,1,9,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",81300,FORTUL,ARAUCA,SARARE,GUERRILLA,FARC,4.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-71.7685578, 6.797075753]}",6.797075753,-71.7685578,2003-1-9,30,AT
31,CR005120,2003,1,16,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",5001,MEDELLIN,ANTIOQUIA,VALLE DE ABURRA,GUERRILLA,FARC,5.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-75.58171333, 6.246715564]}",6.246715564,-75.58171333,2003-1-16,31,AT
32,CR005121,2012,1,13,"{'type': 'Point', 'coordinates': [-72.57585052, 8.468711125]}",54810,TIBU,NORTE DE SANTANDER,CATATUMBO,GUERRILLA,FARC,3.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-72.57585052, 8.468711125]}",8.468711125,-72.57585052,2012-1-13,32,AT
33,CR005122,2012,1,13,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",52835,SAN ANDRES DE TUMACO,NARIÑO,ANDEN PACIFICO SUR,GUERRILLA,FARC,0.0,1,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-78.76385415, 1.80711725]}",1.80711725,-78.76385415,2012-1-13,33,AT
34,CR005123,1999,2,21,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,DESCONOCIDO,NO APLICA,0.0,0,0,0,0,0,,,,,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",4.65017303,-74.107359,1999-2-21,34,AT
