"","dataset","event","date","latitude","longitude","relcase_tax","victims_tax","clash_tax","govattack_tax","guerrattack_tax","parattack_tax","posdattack_tax","c_digo_dane_de_municipio","year"
"1","ABforMELTT",3207,1988-01-01,3.1976614695,-75.6439614722,NA,2,1,0,0,0,0,73555,1988
"2","ABforMELTT",3208,1988-01-01,1.3319484797,-75.9735381035,NA,1,0,0,1,0,0,18610,1988
"3","ABforMELTT",3209,1988-01-02,7.064963864,-73.8499569753,NA,1,0,0,1,0,0,68081,1988
"4","ABforMELTT",231,1988-01-03,7.2949178968,-75.3874207862,"CR003001",7,1,0,1,0,0,5854,1988
"5","ABforMELTT",3210,1988-01-03,7.0039407344,-73.9124579456,NA,0,1,0,0,0,0,5893,1988
"6","ABforMELTT",3211,1988-01-03,6.1879915689,-74.9879525625,NA,0,0,0,0,0,0,5649,1988
"7","ABforMELTT",3212,1988-01-03,6.1152555943,-75.9845158732,NA,0,0,0,0,0,0,5093,1988
"8","ABforMELTT",3213,1988-01-04,7.0039407344,-73.9124579456,NA,0,0,0,1,0,0,5893,1988
"9","ABforMELTT",3214,1988-01-04,10.9759268186,-74.7952590482,NA,2,1,0,0,0,0,8001,1988
"10","ABforMELTT",3215,1988-01-04,8.9299710595,-75.0311608094,NA,1,0,0,1,0,0,70678,1988
"11","ABforMELTT",3216,1988-01-05,7.0039407344,-73.9124579456,NA,1,0,0,0,0,0,5893,1988
"12","ABforMELTT",3217,1988-01-05,11.0066568813,-74.2412861592,NA,1,1,0,0,0,0,47189,1988
"13","ABforMELTT",3218,1988-01-05,11.0066568813,-74.2412861592,NA,2,0,0,1,0,0,47189,1988
"14","ABforMELTT",3219,1988-01-06,7.064963864,-73.8499569753,NA,2,0,0,0,0,0,68081,1988
"15","ABforMELTT",3220,1988-01-06,6.3340688364,-75.554665073,NA,1,0,0,0,0,0,5088,1988
"16","ABforMELTT",3221,1988-01-07,5.6506763959,-74.0699644758,NA,0,1,0,0,0,0,15681,1988
"17","ABforMELTT",3222,1988-01-07,6.1428966666,-75.1844450829,NA,3,1,0,0,0,0,5313,1988
"18","ABforMELTT",3223,1988-01-07,7.5801208146,-75.4014059617,NA,0,1,0,0,0,0,5790,1988
"19","ABforMELTT",3224,1988-01-07,4.7608831004,-76.2216035147,NA,0,1,0,0,0,0,76246,1988
"20","ABforMELTT",3225,1988-01-08,6.1428966666,-75.1844450829,NA,3,1,0,0,0,0,5313,1988
"21","ABforMELTT",3226,1988-01-09,6.4493794856,-71.7586108633,NA,1,0,0,1,0,0,81794,1988
"22","ABforMELTT",3227,1988-01-10,7.4767206715,-73.924168553,NA,0,1,0,0,0,0,13670,1988
"23","ABforMELTT",3228,1988-01-10,7.5801208146,-75.4014059617,NA,0,1,0,0,0,0,5790,1988
"24","ABforMELTT",3229,1988-01-10,8.7869445226,-76.2413965182,NA,2,1,0,0,0,0,23090,1988
"25","ABforMELTT",3230,1988-01-11,7.2650104862,-73.1501469118,NA,2,0,0,0,0,0,68615,1988
"26","ABforMELTT",3231,1988-01-11,8.3103369584,-73.599028585,NA,0,0,0,0,0,0,20011,1988
"27","ABforMELTT",3232,1988-01-12,2.9356044149,-75.2777225856,NA,1,0,0,1,0,0,41001,1988
"28","ABforMELTT",3233,1988-01-12,1.4270540308,-77.0967308309,NA,2,1,0,0,0,0,52258,1988
"29","ABforMELTT",3234,1988-01-13,7.0039407344,-73.9124579456,NA,0,0,0,0,0,0,5893,1988
"30","ABforMELTT",3235,1988-01-13,11.0066568813,-74.2412861592,NA,0,0,0,0,0,0,47189,1988
"31","ABforMELTT",3236,1988-01-13,7.5801208146,-75.4014059617,NA,1,0,1,0,0,0,5790,1988
"32","ABforMELTT",3237,1988-01-14,7.6429704403,-72.7988745246,NA,0,1,0,0,0,0,54051,1988
"33","ABforMELTT",3238,1988-01-14,3.8280403521,-73.688129602,NA,2,0,1,0,0,0,50150,1988
"34","ABforMELTT",3109,1988-01-15,7.8834174058,-76.6259606537,"CR201754571",2,1,0,0,0,0,5045,1988
"35","ABforMELTT",3239,1988-01-16,10.4604812152,-73.259389309,NA,5,0,0,1,0,0,20001,1988
"36","ABforMELTT",3240,1988-01-17,7.064963864,-73.8499569753,NA,3,1,0,0,0,0,68081,1988
"37","ABforMELTT",3241,1988-01-17,6.246715564,-75.581713332,NA,1,1,0,0,0,0,5001,1988
"38","ABforMELTT",3242,1988-01-18,7.4767206715,-73.924168553,NA,0,0,0,1,0,0,13670,1988
"39","ABforMELTT",3243,1988-01-18,6.4859489363,-75.019157568,NA,5,1,0,0,0,0,5670,1988
"40","ABforMELTT",3244,1988-01-18,3.6496795788,-75.5849106782,NA,0,0,0,1,0,0,73168,1988
"41","ABforMELTT",3245,1988-01-18,8.8921689971,-76.3551928772,NA,2,1,0,0,0,0,23419,1988
