,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,grupo_armado_1,descripci_n_grupo_armado,grupo_armado_2,descripci_n_grupo_armado_1,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,capturados,escudo_humano,lesionados_combatientes,militares,polic_as,otras_fuerzas_armadas,agentes_del_estado_sin,total_agentes_del_estado,guerrilleros,paramilitares,grupos_posdesmovilizaci_n,combatientes_sin_informaci,otros_grupos_armados,total_combatientes_de_grupos,total_combatientes,personas_sin_informaci_n,total_civiles,ventaja_militar,total_de_v_ctimas_del_caso,latitud_longitud,grupo_armado_3,descripci_n_grupo_armado_2,otro_hecho_simult_neo,grupo_al_que_pertenecen_los
0,10902,CR020590,1997,1,28,27073,BAGADO,CHOCO,ATRATO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,GRUPOS ARMADOS ORGANIZADOS,6.0,"{'type': 'Point', 'coordinates': [-76.4152929877, 5.4105549598]}",,,,
1,11932,CR201711932,1997,12,11,68464,MOGOTES,SANTANDER,PROVINCIA DE GUANENTA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,GRUPOS ARMADOS ORGANIZADOS,6,"{'type': 'Point', 'coordinates': [-72.96981379, 6.475209953]}",,,,
2,13041,CR009075,1999,3,16,15790,TASCO,BOYACA,ALTIPLANO CUNDIBOYACENSE,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GRUPOS ARMADOS ORGANIZADOS,0,"{'type': 'Point', 'coordinates': [-72.78101116, 5.909821031]}",,,,
3,13199,CR007155,1999,5,21,54720,SARDINATA,NORTE DE SANTANDER,CATATUMBO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,"{'type': 'Point', 'coordinates': [-72.85098176, 8.113765068]}",,,,
4,13865,CR000186,1999,12,25,73686,SANTA ISABEL,TOLIMA,NORTE DEL TOLIMA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,"{'type': 'Point', 'coordinates': [-75.09793439, 4.713605767]}",,,,
5,13973,CR008032,2000,1,31,19780,SUAREZ,CAUCA,NORTE DEL CAUCA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,GRUPOS ARMADOS ORGANIZADOS,1,"{'type': 'Point', 'coordinates': [-76.69344711, 2.959701537]}",,,,
6,16540,CR000245,2001,9,28,19022,ALMAGUER,CAUCA,MACIZO COLOMBIANO,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,GRUPOS ARMADOS ORGANIZADOS,1,"{'type': 'Point', 'coordinates': [-76.85592449, 1.913360233]}",GUERRILLA,ELN,,
7,16549,CR048228,2001,9,29,18410,LA MONTAÑITA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,FARC,0,1,0,0,1,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,1,0,0,GRUPOS ARMADOS ORGANIZADOS,1,"{'type': 'Point', 'coordinates': [-75.43640776, 1.479172635]}",GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,,
8,1780,CR003013,1983,1,21,5665,SAN PEDRO DE URABA,ANTIOQUIA,URABA,AGENTE DEL ESTADO,POLICÍA NACIONAL,GUERRILLA,EPL,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,GRUPOS ARMADOS ORGANIZADOS,2,"{'type': 'Point', 'coordinates': [-76.38057789, 8.276886664]}",,,,
9,2047,CR003023,1985,6,28,63302,GENOVA,QUINDIO,EJE CAFETERO,AGENTE DEL ESTADO,EJÉRCITO NACIONAL - POLICÍA NACIONAL,GUERRILLA,M19,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,10,5,0,0,0,0,5,15,0,2,GRUPOS ARMADOS ORGANIZADOS,19,"{'type': 'Point', 'coordinates': [-75.78981661, 4.207477888]}",,,,
