,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,total_combatientes,total_civiles,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,otro_hecho_simult_neo
0,185266,CR004878,1977,1,1,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,M19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.1073590032, 4.6501730303]}",
1,185267,,1978,8,13,18001,FLORENCIA,CAQUETA,FLORENCIA Y AREA DE INFLUENCIA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,M19,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.60856043, 1.61792293]}",
2,185268,CR012154,1982,8,1,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,ATAQUE A OBJETIVO MILITAR CON EFECTO INDISCRIMINADO,GUERRILLA,M19,0,0,0,0,0,0,6,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",
3,185269,,1991,6,1,17001,MANIZALES,CALDAS,EJE CAFETERO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,EPL,0,1,0,0,0,0,0,0,0,0,4,4,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.49104898, 5.057688197]}",
4,185271,CR005155,1989,11,27,25754,SOACHA,CUNDINAMARCA,AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,0,107,107,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.21452753, 4.585491658]}",
5,185272,CR005159,1998,12,12,68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,DISIDENCIA EPL,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",
6,185273,CR018882,1976,2,3,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
7,185274,CR005127,1978,2,12,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
8,185275,CR000012,1978,2,17,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
9,185276,CR005128,1978,5,29,68001,BUCARAMANGA,SANTANDER,PROVINCIA DE SOTO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-73.13259818, 7.116267276]}",2 CAPTURADOS
10,185277,CR018904,1978,6,18,19001,POPAYAN,CAUCA,MACIZO COLOMBIANO,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,OTRO ¿CUÁL?,NO APLICA,0,0,0,0,0,0,1,0,0,1,0,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.57406468, 2.482503391]}",5-CAPTURADOS
11,185278,CR005130,1978,8,16,23555,PLANETA RICA,CORDOBA,ALTO SINU Y SAN JORGE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,50,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.58324299, 8.408202562]}",
12,185279,,1979,5,1,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
13,185280,,1979,6,1,76001,CALI,VALLE DEL CAUCA,SUR DEL VALLE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,EPL,0,0,0,0,0,0,0,0,0,0,0,0,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-76.52156515, 3.414414305]}",
14,185281,CR005142,1981,7,31,76041,ANSERMANUEVO,VALLE DEL CAUCA,NORTE DEL VALLE,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,DESCONOCIDO,NO APLICA,0,0,0,0,0,0,14,0,0,0,4,4,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-75.99198067, 4.794922714]}",
15,185282,,1981,10,7,11001,"BOGOTA, D.C.","BOGOTA, D. C.",AREA METROPOLITANA DE BOGOTA,ATAQUE A OBJETIVO CIVIL CON EFECTO INDISCRIMINADO,GUERRILLA,ELN,0,0,0,0,0,0,1,0,0,0,1,1,ARTEFACTO EXPLOSIVO,"{'type': 'Point', 'coordinates': [-74.107359, 4.65017303]}",
