,id_caso,id_caso_relacionado,a_o,mes,d_a,c_digo_dane_de_municipio,municipio,departamento,regi_n,modalidad,presunto_responsable,descripci_n_presunto,abandono_o_despojo_forzado,amenaza_o_intimidaci_n,ataque_contra_misi_n_m_dica,confinamiento_o_restricci,desplazamiento_forzado,extorsi_n,lesionados_civiles,pillaje,tortura,otro_hecho_simult_neo,total_de_v_ctimas_del_caso,tipo_de_armas,latitud_longitud,violencia_basada_en_g_nero
0,100649,CR030032,1998,1,25,25530,PARATEBUENO,CUNDINAMARCA,PIEDEMONTE LLANERO,RUTA,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,1,1,0,0,1,1,0,0,2,VENTA A BAJO PRECIO.,5,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-73.2128272365, 4.3748327813]}",
1,102446,,2007,10,17,27361,ISTMINA,CHOCO,VALLE DE SAN JUAN,ENGAÑO,GRUPO POSDESMOVILIZACIÓN,LOS RASTROJOS,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-76.6851803224, 5.1539464955]}",
2,105517,,2005,12,7,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,ASALTO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.24190502, 11.3783267846]}",
3,105564,,2000,6,18,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,SICARIATO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,3,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.24190502, 11.3783267846]}",
4,105630,,2002,6,2,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,SICARIATO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.24190502, 11.3783267846]}",
5,105646,,2002,8,6,44430,MAICAO,LA GUAJIRA,ALTA GUAJIRA,RETENCIÓN/EJECUCIÓN,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,1,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-72.24190502, 11.3783267846]}",
6,106422,,1988,7,12,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,OTRO,0,0,0,0,0,0,0,0,1,,5,ND,"{'type': 'Point', 'coordinates': [-74.1908941206, 11.2294335041]}",
7,107728,CR036098,2002,3,7,47001,SANTA MARTA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,AUTODEFENSAS UNIDAS DE COLOMBIA AUC,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.1908941206, 11.2294335041]}",
8,108305,,1988,7,12,47189,CIENAGA,MAGDALENA,SIERRA NEVADA DE SANTA MARTA,RUTA,GRUPO PARAMILITAR,OTRO,1,1,0,0,1,0,0,0,2,,5,ARMA DE FUEGO - OBJETO CONTUNDENTE,"{'type': 'Point', 'coordinates': [-74.0240432215, 10.7696471787]}",
9,109656,,1995,5,21,47268,EL RETEN,MAGDALENA,CIENAGA GRANDE DE SANTA MARTA,ASALTO,GRUPO PARAMILITAR,NO IDENTIFICADO,0,0,0,0,0,0,0,0,0,,4,ARMA DE FUEGO,"{'type': 'Point', 'coordinates': [-74.2684560983, 10.6106676606]}",
