,munname,muncode,CapitalRevenue,year
1221,Antioquia,5000.0,793784.0,2000.0
1222,Antioquia,5000.0,1098811.0,2001.0
1223,Antioquia,5000.0,1479286.0,2002.0
1224,Antioquia,5000.0,1740474.0,2003.0
1225,Antioquia,5000.0,1591581.0,2004.0
1226,Antioquia,5000.0,1823106.0,2005.0
1227,Antioquia,5000.0,1693752.0,2006.0
1228,Antioquia,5000.0,2014828.0,2007.0
1229,Antioquia,5000.0,3618543.0,2008.0
1230,Antioquia,5000.0,2505724.0,2009.0
1231,Antioquia,5000.0,3169571.0,2010.0
1232,Antioquia,5000.0,3667409.0,2011.0
1233,Antioquia,5000.0,2636895.0,2012.0
1234,Antioquia,5000.0,10450907.0,2013.0
1235,Antioquia,5000.0,13011719.0,2014.0
1236,Antioquia,5000.0,10357455.0,2015.0
1237,Antioquia,5000.0,6348400.0,2016.0
1238,Antioquia,5000.0,2983747.0,2017.0
1239,Antioquia,5000.0,1387192.0,2018.0
1240,Antioquia,5000.0,11421782.0,2019.0
1241,Antioquia,5000.0,951404.0,2020.0
1242,Antioquia,5000.0,317785.0,2021.0
1243,Antioquia,5000.0,1954130.0,2022.0
1866,Medellín,5001.0,417.0,2000.0
1867,Medellín,5001.0,6460.0,2001.0
1868,Medellín,5001.0,0.0,2002.0
1869,Medellín,5001.0,18003.0,2003.0
1870,Medellín,5001.0,341.0,2004.0
1871,Medellín,5001.0,1576.0,2005.0
1872,Medellín,5001.0,960.0,2006.0
1873,Medellín,5001.0,1458.0,2007.0
1874,Medellín,5001.0,2202.0,2008.0
1875,Medellín,5001.0,5474.0,2009.0
1876,Medellín,5001.0,2021.0,2010.0
1877,Medellín,5001.0,2150.0,2011.0
1878,Medellín,5001.0,0.0,2012.0
1879,Medellín,5001.0,4302873.0,2013.0
1880,Medellín,5001.0,0.0,2014.0
1881,Medellín,5001.0,0.0,2015.0
1882,Medellín,5001.0,3587.0,2016.0
1883,Medellín,5001.0,792.0,2017.0
1884,Medellín,5001.0,0.0,2018.0
1885,Medellín,5001.0,0.0,2019.0
1886,Medellín,5001.0,,2020.0
1887,Medellín,5001.0,0.0,2021.0
1888,Medellín,5001.0,0.0,2022.0
2511,Abejorral,5002.0,126417.0,2000.0
2512,Abejorral,5002.0,124855.0,2001.0
2513,Abejorral,5002.0,92119.0,2002.0
2514,Abejorral,5002.0,178828.0,2003.0
2515,Abejorral,5002.0,88898.0,2004.0
2516,Abejorral,5002.0,449301.0,2005.0
2517,Abejorral,5002.0,101561.0,2006.0
2518,Abejorral,5002.0,100479.0,2007.0
2519,Abejorral,5002.0,144486.0,2008.0
2520,Abejorral,5002.0,149469.0,2009.0
2521,Abejorral,5002.0,144354.0,2010.0
2522,Abejorral,5002.0,237795.0,2011.0
2523,Abejorral,5002.0,217363.0,2012.0
2524,Abejorral,5002.0,10074746.0,2013.0
2525,Abejorral,5002.0,3307430.0,2014.0
2526,Abejorral,5002.0,7657885.0,2015.0
2527,Abejorral,5002.0,3840083.0,2016.0
2528,Abejorral,5002.0,127594.0,2017.0
2529,Abejorral,5002.0,0.0,2018.0
2530,Abejorral,5002.0,13860352.0,2019.0
2531,Abejorral,5002.0,,2020.0
2532,Abejorral,5002.0,1205960.0,2021.0
2533,Abejorral,5002.0,7561452.0,2022.0
3155,Abriaquí,5004.0,254763.0,2000.0
3156,Abriaquí,5004.0,205185.0,2001.0
3157,Abriaquí,5004.0,928116.0,2002.0
3158,Abriaquí,5004.0,162915.0,2003.0
3159,Abriaquí,5004.0,0.0,2004.0
3160,Abriaquí,5004.0,0.0,2005.0
3161,Abriaquí,5004.0,0.0,2006.0
3162,Abriaquí,5004.0,0.0,2007.0
3163,Abriaquí,5004.0,0.0,2008.0
3164,Abriaquí,5004.0,80919.0,2009.0
3165,Abriaquí,5004.0,71506.0,2010.0
3166,Abriaquí,5004.0,2121188.0,2011.0
3167,Abriaquí,5004.0,439400.0,2012.0
3168,Abriaquí,5004.0,20161827.0,2013.0
3169,Abriaquí,5004.0,45697123.0,2014.0
3170,Abriaquí,5004.0,17157613.0,2015.0
3171,Abriaquí,5004.0,20451373.0,2016.0
3172,Abriaquí,5004.0,33732515.0,2017.0
3173,Abriaquí,5004.0,26588513.0,2018.0
3174,Abriaquí,5004.0,1210925.0,2019.0
3175,Abriaquí,5004.0,5461993.0,2020.0
3176,Abriaquí,5004.0,4588223.0,2021.0
3177,Abriaquí,5004.0,0.0,2022.0
3799,Alejandría,5021.0,1393788.0,2000.0
3800,Alejandría,5021.0,1036.0,2001.0
3801,Alejandría,5021.0,3519030.0,2002.0
3802,Alejandría,5021.0,8615.0,2003.0
3803,Alejandría,5021.0,3318.0,2004.0
3804,Alejandría,5021.0,13129.0,2005.0
3805,Alejandría,5021.0,164503.0,2006.0
3806,Alejandría,5021.0,0.0,2007.0
3807,Alejandría,5021.0,0.0,2008.0
3808,Alejandría,5021.0,0.0,2009.0
3809,Alejandría,5021.0,0.0,2010.0
3810,Alejandría,5021.0,0.0,2011.0
3811,Alejandría,5021.0,0.0,2012.0
3812,Alejandría,5021.0,12874254.0,2013.0
3813,Alejandría,5021.0,22434123.0,2014.0
3814,Alejandría,5021.0,6267830.0,2015.0
3815,Alejandría,5021.0,2020728.0,2016.0
3816,Alejandría,5021.0,13875408.0,2017.0
3817,Alejandría,5021.0,3928070.0,2018.0
3818,Alejandría,5021.0,0.0,2019.0
3819,Alejandría,5021.0,159314.0,2020.0
3820,Alejandría,5021.0,5293176.0,2021.0
3821,Alejandría,5021.0,5181318.0,2022.0
4443,Amagá,5030.0,40275.0,2000.0
4444,Amagá,5030.0,17174.0,2001.0
4445,Amagá,5030.0,173595.0,2002.0
4446,Amagá,5030.0,286775.0,2003.0
4447,Amagá,5030.0,284455.0,2004.0
4448,Amagá,5030.0,94071.0,2005.0
4449,Amagá,5030.0,110617.0,2006.0
4450,Amagá,5030.0,2072594.0,2007.0
4451,Amagá,5030.0,759299.0,2008.0
4452,Amagá,5030.0,1649135.0,2009.0
4453,Amagá,5030.0,1384747.0,2010.0
4454,Amagá,5030.0,1305613.0,2011.0
4455,Amagá,5030.0,583649.0,2012.0
4456,Amagá,5030.0,7146866.0,2013.0
4457,Amagá,5030.0,9241068.0,2014.0
4458,Amagá,5030.0,9545704.0,2015.0
4459,Amagá,5030.0,6195811.0,2016.0
4460,Amagá,5030.0,1833483.0,2017.0
4461,Amagá,5030.0,8642045.0,2018.0
4462,Amagá,5030.0,0.0,2019.0
4463,Amagá,5030.0,,2020.0
4464,Amagá,5030.0,0.0,2021.0
4465,Amagá,5030.0,0.0,2022.0
5087,Amalfi,5031.0,406000.0,2000.0
5088,Amalfi,5031.0,49808.0,2001.0
5089,Amalfi,5031.0,133030.0,2002.0
5090,Amalfi,5031.0,1192957.0,2003.0
5091,Amalfi,5031.0,682615.0,2004.0
5092,Amalfi,5031.0,1251912.0,2005.0
5093,Amalfi,5031.0,665086.0,2006.0
5094,Amalfi,5031.0,502468.0,2007.0
5095,Amalfi,5031.0,1272042.0,2008.0
5096,Amalfi,5031.0,1869349.0,2009.0
5097,Amalfi,5031.0,2146194.0,2010.0
5098,Amalfi,5031.0,2124341.0,2011.0
5099,Amalfi,5031.0,524511.0,2012.0
5100,Amalfi,5031.0,12004525.0,2013.0
5101,Amalfi,5031.0,11741189.0,2014.0
5102,Amalfi,5031.0,9808683.0,2015.0
5103,Amalfi,5031.0,10007722.0,2016.0
5104,Amalfi,5031.0,3181194.0,2017.0
5105,Amalfi,5031.0,23214080.0,2018.0
5106,Amalfi,5031.0,195877.0,2019.0
5107,Amalfi,5031.0,2458796.0,2020.0
5108,Amalfi,5031.0,12149496.0,2021.0
5109,Amalfi,5031.0,0.0,2022.0
5731,Andes,5034.0,310.0,2000.0
5732,Andes,5034.0,0.0,2001.0
5733,Andes,5034.0,0.0,2002.0
5734,Andes,5034.0,0.0,2003.0
5735,Andes,5034.0,0.0,2004.0
5736,Andes,5034.0,0.0,2005.0
5737,Andes,5034.0,0.0,2006.0
5738,Andes,5034.0,0.0,2007.0
5739,Andes,5034.0,0.0,2008.0
5740,Andes,5034.0,0.0,2009.0
5741,Andes,5034.0,124353.0,2010.0
5742,Andes,5034.0,233912.0,2011.0
5743,Andes,5034.0,129411.0,2012.0
5744,Andes,5034.0,3946402.0,2013.0
5745,Andes,5034.0,6795577.0,2014.0
5746,Andes,5034.0,3626595.0,2015.0
5747,Andes,5034.0,2107343.0,2016.0
5748,Andes,5034.0,3074420.0,2017.0
5749,Andes,5034.0,5204885.0,2018.0
5750,Andes,5034.0,0.0,2019.0
5751,Andes,5034.0,224935.0,2020.0
5752,Andes,5034.0,287714.0,2021.0
5753,Andes,5034.0,0.0,2022.0
6375,Angelópolis,5036.0,832924.0,2000.0
6376,Angelópolis,5036.0,786217.0,2001.0
6377,Angelópolis,5036.0,240253.0,2002.0
6378,Angelópolis,5036.0,89429.0,2003.0
6379,Angelópolis,5036.0,108039.0,2004.0
6380,Angelópolis,5036.0,125245.0,2005.0
6381,Angelópolis,5036.0,28422.0,2006.0
6382,Angelópolis,5036.0,82683.0,2007.0
6383,Angelópolis,5036.0,40441.0,2008.0
6384,Angelópolis,5036.0,26353.0,2009.0
6385,Angelópolis,5036.0,753119.0,2010.0
6386,Angelópolis,5036.0,1188782.0,2011.0
6387,Angelópolis,5036.0,474319.0,2012.0
6388,Angelópolis,5036.0,11736382.0,2013.0
6389,Angelópolis,5036.0,11251147.0,2014.0
6390,Angelópolis,5036.0,4235938.0,2015.0
6391,Angelópolis,5036.0,579442.0,2016.0
6392,Angelópolis,5036.0,0.0,2017.0
6393,Angelópolis,5036.0,13988956.0,2018.0
6394,Angelópolis,5036.0,4356749.0,2019.0
6395,Angelópolis,5036.0,,2020.0
6396,Angelópolis,5036.0,0.0,2021.0
6397,Angelópolis,5036.0,0.0,2022.0
7019,Angostura,5038.0,340660.0,2000.0
7020,Angostura,5038.0,0.0,2001.0
7021,Angostura,5038.0,1110871.0,2002.0
7022,Angostura,5038.0,0.0,2003.0
7023,Angostura,5038.0,0.0,2004.0
7024,Angostura,5038.0,0.0,2005.0
7025,Angostura,5038.0,0.0,2006.0
7026,Angostura,5038.0,0.0,2007.0
7027,Angostura,5038.0,0.0,2008.0
7028,Angostura,5038.0,492354.0,2009.0
7029,Angostura,5038.0,2551601.0,2010.0
